family,submodel,assumption,expression_latex,biological_meaning,status,requires
gaussian,,conditional_distribution,"{response_symbol} \mid \mu_i,\, \sigma_i \sim \mathrm{Normal}(\mu_i,\, \sigma_i^2)",{response} varies normally around its expected value,stated,
gaussian,mu,linear_predictor,\mu_i = \beta_0 + \sum_k \beta_k X_{ki},Expected {response} is a linear combination of the mean-model predictors,stated,
gaussian,sigma,linear_predictor,\log(\sigma_i) = \gamma_0 + \sum_k \gamma_k Z_{ki},Log residual SD of {response} is a linear combination of the scale-model predictors,stated,
gaussian,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied,
gaussian,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated,
gaussian,sigma,positivity,\sigma_i > 0,Residual SD is constrained positive via the log link,implied,
gaussian,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked,
gllvm_gaussian,,response_distribution,"y_{ij} \mid \mu_{t(j)},\, \boldsymbol{\Sigma}_B,\, \sigma_\epsilon \sim \mathrm{Normal}(\mu_{t(j)} + (\boldsymbol{\Lambda}_B \mathbf{z}_{B,i})_{t(j)},\, \sigma_\epsilon^2)","Each row of {response} is normal around its per-trait mean plus a contribution from the between-unit latent factors",stated,
gllvm_gaussian,mu,trait_intercepts,"\mu_t \in \mathbb{R}\ \text{for}\ t = 1,\ldots,T",Each trait has its own grand-mean intercept,stated,
gllvm_gaussian,Lambda_B,latent_score_distribution,"\mathbf{z}_{B,i} \sim \mathcal{N}(\mathbf{0},\, \mathbf{I}_{d_B})",Between-unit latent scores are independent standard normal,stated,
gllvm_gaussian,Lambda_B,loading_identifiability,"\boldsymbol{\Lambda}_B \text{ lower-triangular with positive diagonal (exploratory)}",The loading matrix is parameterised lower-triangular with positive diagonal so it is identified up to sign,stated,
gllvm_gaussian,Lambda_B,implied_between_unit_covariance,"\boldsymbol{\Sigma}_B = \boldsymbol{\Lambda}_B \boldsymbol{\Lambda}_B^\top + \boldsymbol{\Psi}_B","The between-unit T x T covariance is the latent product plus the diagonal of per-trait unique variances (\boldsymbol{\Psi}_B = 0 when no unique() term is present)",implied,
gllvm_gaussian,sigma_eps,residual_positivity,\sigma_\epsilon > 0,Row-level residual SD is constrained positive,implied,
gllvm_gaussian,,row_independence,"y_{ij} \perp y_{i'j'} \mid \mathbf{z}_B \text{ for } (i\,j) \ne (i'\,j')",Rows of {response} are conditionally independent given the latent scores,stated,
gllvm_gaussian,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked,
gllvm_gaussian,,conditional_independence_given_z,"{response_symbol_t} \perp {response_symbol_t'} \mid \mathbf{z}_i,\, \boldsymbol{\mu},\, \boldsymbol{\Lambda},\, \boldsymbol{\Psi} \text{ for } t \ne t'","Within an observation, traits are conditionally independent given the latent scores, intercepts, loadings, and unique variances.",stated,
gllvm_gaussian,Lambda_B,loading_rotation_ambiguity,"\boldsymbol{\Lambda}_B \mathbf{R} \mathbf{R}^\top \boldsymbol{\Lambda}_B^\top = \boldsymbol{\Lambda}_B \boldsymbol{\Lambda}_B^\top \text{ for any orthogonal } \mathbf{R}","The loading matrix is identified up to rotation (and sign) of the latent axes. Interpret loadings only after a fixed rotation convention (e.g., lower-triangular, varimax).",implied,
