class,family,component,status,since,notes,lives_in
drmTMB,gaussian,mu,Stable,0.1.0,Univariate location submodel with identity link.,symbolizer
drmTMB,gaussian,sigma,Stable,0.1.0,Univariate scale submodel with log link.,symbolizer
drmTMB,gaussian,random_effects,First slice,0.3.1,"Random intercepts (1 | group) and random intercept + one slope (1 + x | group) on the mu submodel; nested / crossed / RE-on-sigma still planned.",symbolizer
drmTMB,gaussian,zi,Planned or reserved,,Zero-inflation submodel.,symbolizer
drmTMB,gaussian,hu,Planned or reserved,,Hurdle submodel.,symbolizer
drmTMB,poisson,zi,First slice,0.4.0,"Zero-inflation submodel (logit link) layered on top of Poisson; mixture: P(Y=0) = pi_zi + (1 - pi_zi) * Poisson(0; mu).",symbolizer
drmTMB,nbinom2,zi,First slice,0.4.0,"Zero-inflation submodel (logit link) layered on top of nbinom2.",symbolizer
drmTMB,truncated_nbinom2,hu,First slice,0.4.0,"Hurdle submodel (logit link) on truncated_nbinom2; two-part: P(Y=0) = pi_hu, and positives are drawn from the zero-truncated negative binomial.",symbolizer
drmTMB,gaussian,rho12,Planned or reserved,,Bivariate residual correlation.,symbolizer
drmTMB,student,mu,First slice,0.2.2,Student-t location submodel with identity link.,symbolizer
drmTMB,student,sigma,First slice,0.2.2,Student-t scale submodel with log link.,symbolizer
drmTMB,student,nu,First slice,0.2.2,"Student-t degrees-of-freedom submodel with log(nu - 2) link; nu > 2 required for finite variance.",symbolizer
drmTMB,lognormal,mu,First slice,0.2.2,"Lognormal location submodel: mu is the mean of log(Y), identity link.",symbolizer
drmTMB,lognormal,sigma,First slice,0.2.2,"Lognormal scale submodel: sigma is the SD of log(Y), log link.",symbolizer
drmTMB,Gamma,mu,First slice,0.2.2,"Gamma location submodel (positive continuous response, default log link via stats::Gamma(link = ""log"")).",symbolizer
drmTMB,Gamma,sigma,First slice,0.2.2,Gamma dispersion submodel on the log scale.,symbolizer
drmTMB,beta,mu,First slice,0.2.2,"Beta location submodel: mu in (0, 1) via the logit link; response Y in (0, 1).",symbolizer
drmTMB,beta,sigma,First slice,0.2.2,Beta precision submodel on the log scale (larger sigma -> tighter distribution around mu).,symbolizer
drmTMB,beta_binomial,mu,First slice,0.3.2,"Beta-binomial location submodel: mu in (0, 1) is the mean success probability via the logit link.",symbolizer
drmTMB,beta_binomial,sigma,First slice,0.3.2,"Beta-binomial precision / overdispersion submodel on the log scale; larger sigma -> distribution tighter around mu (less overdispersion).",symbolizer
drmTMB,poisson,mu,First slice,0.2.2,Poisson count submodel with log link; no dispersion parameter.,symbolizer
drmTMB,nbinom2,mu,First slice,0.2.2,"Negative binomial (type 2) count submodel with log link.",symbolizer
drmTMB,nbinom2,sigma,First slice,0.2.2,"Negative binomial overdispersion submodel; variance = mu + mu^2/exp(sigma).",symbolizer
drmTMB,truncated_nbinom2,mu,First slice,0.3.2,"Zero-truncated negative binomial (type 2) count submodel with log link; response Y >= 1.",symbolizer
drmTMB,truncated_nbinom2,sigma,First slice,0.3.2,"Zero-truncated nbinom2 overdispersion submodel on the log scale.",symbolizer
drmTMB,cumulative_logit,mu,First slice,0.4.0,"Cumulative logit (proportional-odds) model for ordered categorical response; K-1 thresholds plus a shared slope vector.",symbolizer
drmTMB,biv_gaussian,mu1,First slice,0.1.0,Bivariate Gaussian location submodel for the first response.,symbolizer
drmTMB,biv_gaussian,mu2,First slice,0.1.0,Bivariate Gaussian location submodel for the second response.,symbolizer
drmTMB,biv_gaussian,sigma1,First slice,0.1.0,Bivariate Gaussian scale submodel for the first response (log link).,symbolizer
drmTMB,biv_gaussian,sigma2,First slice,0.1.0,Bivariate Gaussian scale submodel for the second response (log link).,symbolizer
drmTMB,biv_gaussian,rho12,First slice,0.1.0,Residual correlation between the two responses (atanh_guarded link).,symbolizer
gllvmTMB,gaussian,mu,First slice,0.1.0,Per-trait intercept submodel via 0 + trait fixed effects.,symbolizer
gllvmTMB,gaussian,Lambda_B,First slice,0.1.0,Between-unit reduced-rank loading matrix via latent(0 + trait | unit).,symbolizer
gllvmTMB,gaussian,Sigma_B,First slice,0.1.0,"Implied between-unit covariance Lambda_B Lambda_B^T (+ Psi_B when unique term present).",symbolizer
gllvmTMB,gaussian,Psi_B,First slice,0.1.0,Per-trait unique variance via unique(0 + trait | unit).,symbolizer
gllvmTMB,gaussian,sigma_eps,First slice,0.1.0,Shared row-level residual SD.,symbolizer
