family,response_distribution,scale_parameter,scale_meaning,link_mu,link_sigma,variance_expression,natural_sd_ratio,natural_variance_ratio,notes
gaussian,Normal,sigma,residual standard deviation,identity,log,\sigma_i^2,exp(beta),exp(2*beta),drmTMB convention: larger sigma always means larger modelled variability.
student,Student-t,(sigma; nu),residual scale and degrees of freedom,identity,log,\nu_i / (\nu_i - 2) \cdot \sigma_i^2,exp(beta) per dpar,exp(2*beta) per dpar,"drmTMB uses log(nu - 2) (logm2 link) on nu so nu > 2 is enforced and the variance is finite; as nu grows, Student-t approaches Gaussian."
lognormal,Lognormal,sigma,scale on the log-response,identity,log,(\exp(\sigma_i^2) - 1) \cdot \exp(2 \mu_i + \sigma_i^2),"exp(beta) (multiplies the geometric mean of Y)","(exp(sigma_i^2) - 1) * exp(2*mu_i + sigma_i^2)","drmTMB convention: Y > 0, log(Y) ~ Normal(mu, sigma^2); coefficients on mu live on the log-response scale, so exp(beta) is the multiplicative effect on the geometric mean of Y."
gllvm_gaussian,Multivariate Normal,sigma_eps,shared row-level residual standard deviation,identity,log,\sigma_\epsilon^2,exp(beta),exp(2*beta),"gllvmTMB Gaussian latent model: between-unit covariance is \boldsymbol{\Lambda}_B \boldsymbol{\Lambda}_B^\top + \boldsymbol{\Psi}_B; row-level residual is a single shared \sigma_\epsilon."
biv_gaussian,Bivariate Normal,(sigma1; sigma2; rho12),paired residual SDs and correlation,identity,log,Sigma_i (2x2),exp(beta) per dpar,exp(2*beta) per dpar,"drmTMB convention: rho12 in (-1, 1) via an atanh_guarded link (response-scale correlation is 0.99999999 * tanh(eta_rho12))."
Gamma,Gamma,sigma,Gamma dispersion (CV of the response is roughly sigma when sigma is small),log,log,\sigma_i^2 \cdot \mu_i^2,exp(beta) (multiplies the mean response),exp(2*beta) (multiplies the variance),"drmTMB convention with stats::Gamma(link = ""log""): Y > 0; log(mu_i) is the linear predictor on the mean; sigma_i is the dispersion (related to the shape parameter)."
beta,Beta,sigma,Beta precision (larger sigma -> distribution tighter around mu),logit,log,\mu_i (1 - \mu_i) / (\sigma_i + 1),exp(beta) on the precision (multiplicative); odds ratio on mu (exp(beta) on the logit scale),—,"drmTMB Beta family: Y in (0, 1); mu_i is the mean on the response scale via the logit link; sigma_i is the precision parameter on the log scale."
poisson,Poisson,(none),"Poisson has no dispersion parameter; variance = mean",log,(none),\mu_i,exp(beta) (multiplies the count rate),exp(beta) (multiplies the count rate),"drmTMB convention with stats::poisson(): Y in {0, 1, 2, ...}; log(mu_i) is the linear predictor; variance equals the mean."
nbinom2,Negative binomial (type 2),sigma,Overdispersion (small sigma -> Poisson; large sigma -> highly overdispersed),log,log,\mu_i + \mu_i^2 / \exp(\sigma_i),exp(beta) (multiplies the count rate),—,"drmTMB nbinom2: Y in {0, 1, 2, ...}; mu_i is the mean count rate on the log scale; size = exp(sigma_i); variance = mu + mu^2 / exp(sigma)."
beta_binomial,Beta-binomial,sigma,"Precision / inverse-overdispersion (small sigma -> highly overdispersed, large sigma -> binomial limit)",logit,log,"N_i \mu_i (1 - \mu_i) (\sigma_i + N_i) / (\sigma_i + 1)",exp(beta) on precision; odds ratio on mu,—,"drmTMB Beta-binomial: response is a count of successes out of N_i trials specified via cbind(successes, failures); mu_i is the mean success probability on the logit link; sigma_i parameterises overdispersion on the log scale."
truncated_nbinom2,Zero-truncated negative binomial (type 2),sigma,Overdispersion on the log scale (size parameter = exp(sigma)),log,log,"Note: the modelled mean mu is the mean of the UNTRUNCATED distribution; the truncated mean is larger.",exp(beta) (multiplies the count rate),—,"drmTMB truncated_nbinom2: Y >= 1 (zeros are excluded by the likelihood); mu_i is the mean of the underlying untruncated negative binomial; sigma_i parameterises overdispersion on the log scale (size = exp(sigma_i))."
cumulative_logit,Cumulative logit (proportional odds),(none),"The response is ordered categorical with K levels; the model has K-1 cutpoints theta_k (which replace the intercept) and a shared slope vector beta (proportional-odds assumption)",identity,(none),"P(Y <= k) is the CDF on the cumulative-logit scale; the response-scale probability of being exactly in category k is P(Y <= k) - P(Y <= k-1)",exp(beta) is a proportional-odds ratio across all category boundaries,—,"drmTMB cumulative_logit: assumes the SAME slope vector applies to every cumulative log-odds (proportional-odds assumption). Check this before interpreting."
gllvm_binomial,Bernoulli,(none),"Binary response with logit-link mean; no separate dispersion parameter",logit,(none),"P(Y=1) = logit^{-1}(eta); variance Bernoulli, depends on mean",exp(beta) (odds ratio on the success probability),—,"gllvmTMB Binomial latent model: each trait is Bernoulli on the logit scale; between-unit covariance is Lambda_B Lambda_B^T (+ Psi_B); no row-level residual (Bernoulli variance is determined by the mean)."
