family,submodel,coefficient_role,link_scale_reading,natural_scale_reading,variance_scale_reading,biological_reading
gaussian,mu,intercept,Expected {response} at the reference,Expected {response} for the reference case,—,Baseline {response} in the reference condition
gaussian,mu,slope,Linear change in expected {response} per unit of {predictor},Expected {response} changes by {coef} per unit of {predictor},—,A unit change in {predictor} shifts the expected {response} by {coef}
gaussian,mu,factor_contrast,Difference in expected {response} between {variable} = {level} and the reference ({reference_level}),Expected {response} for {variable} = {level} differs from {variable} = {reference_level} by {coef},—,Average {response} differs between {level} and {reference_level} by {coef}
gaussian,sigma,intercept,Log residual SD at the reference (SD = exp({coef})),Residual SD = exp({coef}) at the reference,Residual variance = exp(2*{coef}),Baseline level of unexplained individual variation in {response}
gaussian,sigma,slope,Log residual SD changes by {coef} per unit of {predictor},Residual SD multiplied by exp({coef}) per unit of {predictor},Residual variance multiplied by exp(2*{coef}) per unit,A unit change in {predictor} multiplies the unexplained variability of {response} by exp({coef})
gaussian,sigma,factor_contrast,Log residual SD differs by {coef} between {variable} = {level} and {variable} = {reference_level},Residual SD for {level} is exp({coef}) times the SD for {reference_level},Residual variance for {level} is exp(2*{coef}) times the variance for {reference_level},Unexplained variation in {response} differs between {level} and {reference_level} by a factor of exp({coef})
gaussian,mu,cell_mean,Expected {response} for {variable} = {level},Expected {response} for {variable} = {level} is {coef},—,"Mean {response} for the {level} group (intercept-less / cell-means parameterisation)"
gaussian,mu,transformation,Linear change in expected {response} per unit of {transform}({predictor}),Expected {response} changes by {coef} per unit of {transform}({predictor}),—,A unit change in {transform}({predictor}) shifts the expected {response} by {coef}
gaussian,sigma,transformation,Log residual SD changes by {coef} per unit of {transform}({predictor}),Residual SD multiplied by exp({coef}) per unit of {transform}({predictor}),Residual variance multiplied by exp(2*{coef}) per unit,A unit change in {transform}({predictor}) multiplies the unexplained variability of {response} by exp({coef})
gaussian,mu,interaction_cont_cont,Linear change in the {predictor_a} slope per unit of {predictor_b},The slope of {response} on {predictor_a} changes by {coef} for each unit of {predictor_b},—,"The effect of {predictor_a} on {response} increases by {coef} for each unit of {predictor_b}. Call `group_slopes(sym, continuous = ""{predictor_a}"", at = list({predictor_b} = ...))` to see the slope at specific values of {predictor_b} with confidence intervals."
gaussian,mu,interaction_cont_factor,Difference in {predictor} slope between {level} and the reference ({reference_level}),The slope of {response} on {predictor} is {coef} larger for {level} than for {reference_level},—,"The effect of {predictor} on {response} differs by {coef} between {level} and {reference_level}. Call `group_slopes(sym, continuous = ""{predictor}"")` to see each group's slope on the response scale, with confidence intervals."
gaussian,mu,interaction_factor_factor,"Difference of differences: the ({factor_a}: {level_a}) effect at {factor_b} = {level_b} versus at {factor_b} = {reference_level_b}","Expected {response} difference between {level_a} and {reference_level_a} is {coef} larger at {factor_b} = {level_b} than at {factor_b} = {reference_level_b}",—,"The {factor_a} effect on {response} differs by {coef} between {factor_b} = {level_b} and {factor_b} = {reference_level_b}. Call `group_means(sym, by = c(""{factor_a}"", ""{factor_b}""))` to see each cell's expected response with confidence intervals."
gaussian,sigma,interaction_cont_cont,—,—,—,—
gaussian,sigma,interaction_cont_factor,—,—,—,—
gaussian,sigma,interaction_factor_factor,—,—,—,—
gllvm_gaussian,mu,trait_intercept,Expected {response} for trait {trait},Expected {response} for trait {trait} is {coef},—,Grand-mean of {response} for trait {trait}
gllvm_gaussian,Lambda_B,loading,Loading of trait {trait} on between-unit latent axis {axis} is {coef},Trait {trait} moves by {coef} units along latent axis {axis},—,"Trait {trait} loads on between-unit axis {axis} with strength {coef}; same-sign loadings indicate positive among-unit covariation"
biv_gaussian,mu1,intercept,Expected {response} at the reference,Expected {response} for the reference case,—,Baseline {response} in the reference condition
biv_gaussian,mu1,slope,Linear change in expected {response} per unit of {predictor},Expected {response} changes by {coef} per unit of {predictor},—,A unit change in {predictor} shifts the expected {response} by {coef}
biv_gaussian,mu1,factor_contrast,Difference in expected {response} between {variable} = {level} and the reference ({reference_level}),Expected {response} for {variable} = {level} differs from {variable} = {reference_level} by {coef},—,Average {response} differs between {level} and {reference_level} by {coef}
biv_gaussian,mu1,transformation,Linear change in expected {response} per unit of {transform}({predictor}),Expected {response} changes by {coef} per unit of {transform}({predictor}),—,A unit change in {transform}({predictor}) shifts the expected {response} by {coef}
biv_gaussian,mu2,intercept,Expected {response} at the reference,Expected {response} for the reference case,—,Baseline {response} in the reference condition
biv_gaussian,mu2,slope,Linear change in expected {response} per unit of {predictor},Expected {response} changes by {coef} per unit of {predictor},—,A unit change in {predictor} shifts the expected {response} by {coef}
biv_gaussian,mu2,factor_contrast,Difference in expected {response} between {variable} = {level} and the reference ({reference_level}),Expected {response} for {variable} = {level} differs from {variable} = {reference_level} by {coef},—,Average {response} differs between {level} and {reference_level} by {coef}
biv_gaussian,mu2,transformation,Linear change in expected {response} per unit of {transform}({predictor}),Expected {response} changes by {coef} per unit of {transform}({predictor}),—,A unit change in {transform}({predictor}) shifts the expected {response} by {coef}
biv_gaussian,sigma1,intercept,Log residual SD of {response_1} at the reference (SD = exp({coef})),Residual SD of {response_1} = exp({coef}) at the reference,Residual variance of {response_1} = exp(2*{coef}),Baseline level of unexplained variation in {response_1}
biv_gaussian,sigma1,slope,Log residual SD of {response_1} changes by {coef} per unit of {predictor},Residual SD of {response_1} multiplied by exp({coef}) per unit of {predictor},Residual variance of {response_1} multiplied by exp(2*{coef}) per unit,A unit change in {predictor} multiplies the unexplained variability of {response_1} by exp({coef})
